"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","TOT","PC_CHGPP","A","1999",4.685328,
"USA","QGDP","TOT","PC_CHGPP","A","2000",4.092111,
"USA","QGDP","TOT","PC_CHGPP","A","2001",0.976142,
"USA","QGDP","TOT","PC_CHGPP","A","2002",1.786158,
"USA","QGDP","TOT","PC_CHGPP","A","2003",2.806812,
"USA","QGDP","TOT","PC_CHGPP","A","2004",3.785481,
"USA","QGDP","TOT","PC_CHGPP","A","2005",3.345379,
"USA","QGDP","TOT","PC_CHGPP","A","2006",2.666456,
"USA","QGDP","TOT","PC_CHGPP","A","2007",1.778798,
"USA","QGDP","TOT","PC_CHGPP","A","2008",-0.291621,
"USA","QGDP","TOT","PC_CHGPP","A","2009",-2.775554,
"USA","QGDP","TOT","PC_CHGPP","A","2010",2.531773,
"USA","QGDP","TOT","PC_CHGPP","A","2011",1.601584,
"USA","QGDP","TOT","PC_CHGPP","A","2012",2.223949,
"USA","QGDP","TOT","PC_CHGPP","A","2013",1.677345,
